City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
152,Krasnogorsk,RU,55.8225,37.3181,52.18,76,75,17.9,broken clouds
153,Marzuq,YE,14.4,46.4667,72.86,43,1,3.2,clear sky
154,Pacific Grove,US,36.6177,-121.9166,79.02,72,0,10.0,clear sky
155,Oranjestad,AW,12.524,-70.027,85.95,74,20,16.11,few clouds
156,San Quintin,MX,30.4833,-115.95,71.28,76,63,13.53,broken clouds
157,Yarumal,CO,6.9632,-75.4174,54.54,98,48,1.95,scattered clouds
158,Orlik,RU,52.5178,99.825,19.02,56,71,2.64,broken clouds
159,Port Blair,IN,11.6667,92.75,78.84,94,75,2.3,mist
160,Pevek,RU,69.7008,170.3133,29.14,77,100,8.84,overcast clouds
161,Konya,TR,38.1667,32.5,56.26,47,11,6.38,few clouds
162,Usinsk,RU,65.9939,57.5281,40.21,74,100,7.34,overcast clouds
163,Talcahuano,CL,-36.7167,-73.1167,55.08,71,75,14.97,broken clouds
164,Port Elizabeth,ZA,-33.918,25.5701,61.09,81,0,16.11,clear sky
165,Togur,RU,58.3631,82.8265,30.0,80,97,5.91,overcast clouds
166,Totma,RU,59.9747,42.7642,52.84,88,100,10.02,overcast clouds
167,Akdepe,TM,42.0551,59.3788,44.69,32,1,9.93,clear sky
168,Arraial Do Cabo,BR,-22.9661,-42.0278,68.41,85,90,6.02,heavy intensity rain
169,Noshiro,JP,40.2039,140.0242,66.65,88,100,14.76,light rain
170,Poronaysk,RU,49.2167,143.1167,51.67,87,100,6.76,light rain
171,Puerto Ayora,EC,-0.7393,-90.3518,75.16,91,95,1.99,overcast clouds
172,Iqaluit,CA,63.7506,-68.5145,35.33,93,100,17.27,overcast clouds
173,Teseney,ER,15.11,36.6575,81.09,54,50,4.61,scattered clouds
174,Katangli,RU,51.7102,143.2326,38.53,97,100,16.6,light rain
175,Tigil,RU,57.8,158.6667,42.89,88,100,10.13,overcast clouds
176,Cabo San Lucas,MX,22.8909,-109.9124,91.62,61,1,5.61,clear sky
177,Kawambwa,ZM,-9.7915,29.0791,69.42,23,5,7.14,clear sky
178,Grand Gaube,MU,-20.0064,57.6608,71.38,69,36,5.01,scattered clouds
179,Sabanalarga,CO,10.6296,-74.9206,86.88,82,49,8.32,scattered clouds
180,Chadiza,ZM,-14.0678,32.4392,67.69,36,0,1.21,clear sky
181,Rafai,CF,4.95,23.9167,69.15,97,94,2.68,overcast clouds
182,Talnakh,RU,69.4865,88.3972,34.21,92,100,20.07,light snow
183,Makakilo City,US,21.3469,-158.0858,84.43,63,1,4.5,clear sky
184,Mayo,US,38.8876,-76.5119,50.99,91,100,5.01,light rain
185,Pabbi,PK,34.0106,71.7989,74.08,64,0,0.87,clear sky
186,Bull Savanna,JM,17.8868,-77.5902,77.2,79,100,6.69,overcast clouds
187,Castro,BR,-24.7911,-50.0119,56.95,96,60,3.96,broken clouds
188,Namibe,AO,-15.1961,12.1522,66.96,86,95,3.15,overcast clouds
189,New Richmond,US,45.123,-92.5366,74.88,47,0,8.05,clear sky
190,Pasighat,IN,28.0667,95.3333,75.61,96,97,2.44,overcast clouds
191,Cadillac,US,44.2519,-85.4012,64.31,29,0,3.44,clear sky
192,Nanortalik,GL,60.1432,-45.2371,36.77,76,41,11.99,scattered clouds
193,Mpraeso,GH,6.5932,-0.7346,69.8,97,53,3.29,broken clouds
194,Manta,EC,-0.95,-80.7333,73.18,78,75,14.97,broken clouds
195,Beckley,US,37.7782,-81.1882,54.01,84,20,9.22,few clouds
196,Padang,ID,-0.9492,100.3543,77.05,87,100,2.68,overcast clouds
197,Khani,GE,41.9563,42.9566,54.97,88,100,4.99,overcast clouds
198,Lagoa,PT,39.05,-27.9833,69.13,78,99,4.03,overcast clouds
199,Lorengau,PG,-2.0226,147.2712,85.01,68,70,9.73,broken clouds
200,Yaan,NG,7.3833,8.5667,73.63,89,61,4.29,broken clouds
201,Muros,ES,42.7762,-9.0603,61.09,94,1,2.39,clear sky
202,Chililabombwe,ZM,-12.3648,27.8229,64.92,38,0,4.88,clear sky
203,Bontang,ID,0.1333,117.5,76.68,89,98,4.76,overcast clouds
204,Ryotsu,JP,38.0833,138.4333,72.88,72,88,11.36,light rain
205,Akom,CM,2.6678,12.7109,66.45,99,96,1.3,overcast clouds
206,Pisco,PE,-13.7,-76.2167,62.65,82,20,17.27,few clouds
207,Barra Patuca,HN,15.8,-84.2833,76.19,89,100,6.98,overcast clouds
208,San Patricio,US,28.017,-97.5169,84.54,33,100,5.82,overcast clouds
209,Sobolevo,RU,54.4299,31.8996,38.43,97,100,13.96,overcast clouds
210,Macau,MO,22.2006,113.5461,82.13,89,40,5.75,scattered clouds
211,Boat Of Garten,GB,57.2491,-3.759,58.32,84,100,11.56,overcast clouds
212,Mahebourg,MU,-20.4081,57.7,71.26,77,20,10.36,few clouds
213,Sangar,RU,63.9242,127.4739,19.92,80,95,3.89,overcast clouds
214,Sakakah,SA,29.9697,40.2064,78.37,17,0,3.65,clear sky
215,Meulaboh,ID,4.1363,96.1285,74.28,94,100,3.62,heavy intensity rain
216,Port Augusta,AU,-32.5,137.7667,77.05,30,98,15.79,overcast clouds
217,Muzambinho,BR,-21.3758,-46.5256,63.9,87,31,2.53,scattered clouds
218,Alofi,NU,-19.0595,-169.9187,80.49,74,75,12.66,broken clouds
219,Srednekolymsk,RU,67.45,153.6833,25.45,81,97,3.13,overcast clouds
220,Srivardhan,IN,18.0333,73.0167,76.44,89,100,6.26,overcast clouds
221,Provideniya,RU,64.3833,-173.3,39.36,87,0,8.99,clear sky
222,Balagansk,RU,54.0103,103.0544,29.39,94,100,2.68,light snow
223,Klaksvik,FO,62.2266,-6.589,52.72,97,100,33.98,light rain
224,Smithers,CA,54.7804,-127.1743,52.12,76,20,0.0,few clouds
225,Cabra,ES,37.4725,-4.4421,69.91,39,33,1.79,scattered clouds
226,Leningradskiy,RU,69.3833,178.4167,31.19,93,100,6.46,light snow
227,Ugep,NG,5.8086,8.0812,72.63,95,92,4.21,overcast clouds
228,Macusani,PE,-14.0833,-70.4333,37.6,96,97,3.98,overcast clouds
229,Mount Gambier,AU,-37.8333,140.7667,53.96,83,100,10.22,overcast clouds
230,Hamilton,US,39.1834,-84.5333,67.87,42,3,3.0,clear sky
231,Paamiut,GL,61.994,-49.6678,37.22,71,1,15.08,clear sky
232,Tazovskiy,RU,67.4667,78.7,37.44,97,100,15.79,light rain
233,Bengkulu,ID,-3.8004,102.2655,75.69,89,100,5.3,overcast clouds
234,Buala,SB,-8.145,159.5921,83.03,75,96,8.61,light rain
235,Zamora,EC,-4.0692,-78.9567,79.84,88,89,0.78,light rain
236,Lompoc,US,34.6391,-120.4579,82.02,68,0,5.99,clear sky
237,Nelson Bay,AU,-32.7167,152.15,64.09,75,40,4.0,scattered clouds
238,Mandalgovi,MN,45.7625,106.2708,23.61,45,0,6.85,clear sky
239,Pisek,CZ,49.3088,14.1475,53.11,68,100,9.44,overcast clouds
240,Razole,IN,16.4833,81.8333,75.43,96,100,3.71,overcast clouds
241,Sambava,MG,-14.2667,50.1667,67.19,87,28,7.74,scattered clouds
242,Bambanglipuro,ID,-7.95,110.2833,76.82,87,81,5.19,broken clouds
243,Vaitape,PF,-16.5167,-151.75,78.75,74,3,15.23,clear sky
244,Creel,MX,27.75,-107.6333,62.13,52,45,6.8,scattered clouds
245,Yulara,AU,-25.2406,130.9889,62.94,67,64,6.69,broken clouds
246,Nikolskoye,RU,59.7035,30.7861,46.29,98,100,5.28,overcast clouds
247,Palana,RU,59.1167,159.9667,40.55,82,98,7.76,overcast clouds
248,Marsh Harbour,BS,26.5412,-77.0636,81.09,66,50,15.7,scattered clouds
249,Vila Franca Do Campo,PT,37.7167,-25.4333,76.19,93,47,11.14,light rain
250,Makubetsu,JP,45.3714,141.8211,62.46,96,100,16.02,light rain
